"date","commune","case_true","case_lowCI","case_med","case_uppCI","pop","inc_true","inc_lowCI","inc_med","inc_uppCI","hist_year","season","month_lab"
2023-03-01,"AMBOHIMANGA DU SUD",NA,898,1148,1468,23260,NA,38.6236375954757,49.3544390925857,63.0935573186529,3,"2022/2023","Mar"
2023-03-01,"AMBOHIMIERA",NA,1239,1641,2178,17768,NA,69.749060963206,92.3509003267258,122.556997479201,3,"2022/2023","Mar"
2023-03-01,"AMPASINAMBO",NA,354,495,695,3956,NA,89.4719304062091,125.231411787796,175.668841297036,3,"2022/2023","Mar"
2023-03-01,"ANALAMPASINA",NA,476,639,858,7720,NA,61.617773817322,82.7357037207771,111.144947858676,3,"2022/2023","Mar"
2023-03-01,"ANDRORANGAVOLA",NA,823,1073,1401,18367,NA,44.7954680871171,58.4179527588649,76.2559147901784,3,"2022/2023","Mar"
2023-03-01,"ANTARETRA",NA,1239,1615,2105,12445,NA,99.5959523138845,129.767248973461,169.105328371163,3,"2022/2023","Mar"
2023-03-01,"ANTSINDRA",NA,346,476,655,8076,NA,42.8249927132424,58.9404569663717,81.147551846566,3,"2022/2023","Mar"
2023-03-01,"FASINTSARA",NA,1088,1400,1802,14785,NA,73.5712574196245,94.6828984563206,121.874062398665,3,"2022/2023","Mar"
2023-03-01,"IFANADIANA",NA,1106,1441,1878,21714,NA,50.9453729625139,66.3693871585331,86.4696972024409,3,"2022/2023","Mar"
2023-03-01,"KELILALINA",NA,1673,2146,2754,15870,NA,105.393596674478,135.237055886578,173.543213617956,3,"2022/2023","Mar"
2023-03-01,"MAROHARATRA",NA,892,1167,1531,15076,NA,59.1392240808372,77.4168165051398,101.538495419903,3,"2022/2023","Mar"
2023-03-01,"MAROTOKO",NA,678,926,1265,8682,NA,78.1107842993104,106.601716486564,145.694728961742,3,"2022/2023","Mar"
2023-03-01,"RANOMAFANA",NA,575,774,1042,16555,NA,34.708982060449,46.724539971821,62.9315789260426,3,"2022/2023","Mar"
2023-03-01,"TSARATANANA",NA,2687,3442,4410,31100,NA,86.3963773701144,110.668206277427,141.80281195279,3,"2022/2023","Mar"
2023-04-01,"AMBIABE",NA,807,1094,1485,11990,NA,67.2686637912482,91.2661506099204,123.872094683567,3,"2022/2023","Apr"
2023-04-01,"AMBOHIMANGA DU SUD",NA,829,1064,1366,23314,NA,35.5465461315092,45.6210076139745,58.576638091951,3,"2022/2023","Apr"
